nm, %R
1100.000000, 43.641400
1095.000000, 43.531900
1090.000000, 43.356900
1085.000000, 43.179300
1080.000000, 42.929400
1075.000000, 42.663900
1070.000000, 42.371900
1065.000000, 42.114400
1060.000000, 41.847100
1055.000000, 41.592400
1050.000000, 41.366300
1045.000000, 41.152300
1040.000000, 40.967700
1035.000000, 40.773100
1030.000000, 40.555400
1025.000000, 40.307100
1020.000000, 40.035900
1015.000000, 39.725400
1010.000000, 39.377600
1005.000000, 39.049400
1000.000000, 38.709800
995.000000, 38.415000
990.000000, 38.126600
985.000000, 37.867500
980.000000, 37.619700
975.000000, 37.349300
970.000000, 37.045800
965.000000, 36.727100
960.000000, 36.342600
955.000000, 35.983400
950.000000, 35.601800
945.000000, 35.266200
940.000000, 34.941000
935.000000, 34.636800
930.000000, 34.372700
925.000000, 34.084600
920.000000, 33.767500
915.000000, 33.436000
910.000000, 33.063400
905.000000, 32.746500
900.000000, 32.409400
895.000000, 32.124500
890.000000, 31.794600
885.000000, 141.933800
880.000000, 141.164800
875.000000, 140.885400
870.000000, 140.333700
865.000000, 139.800500
860.000000, 139.448500
855.000000, 138.782000
850.000000, 138.636600
845.000000, 138.293300
840.000000, 138.004000
835.000000, 137.776500
830.000000, 137.619100
825.000000, 137.590700
820.000000, 137.541300
815.000000, 137.605200
810.000000, 137.645200
805.000000, 137.853300
800.000000, 137.993600
795.000000, 138.129000
790.000000, 138.275700
785.000000, 138.438000
780.000000, 138.572500
775.000000, 138.782000
770.000000, 138.952400
765.000000, 139.164700
760.000000, 139.291000
755.000000, 139.396500
750.000000, 139.587300
745.000000, 139.693200
740.000000, 139.810100
735.000000, 139.932200
730.000000, 139.986500
725.000000, 140.106800
720.000000, 140.198000
715.000000, 140.209100
710.000000, 140.324700
705.000000, 140.406800
700.000000, 140.453000
695.000000, 140.506000
690.000000, 140.555200
685.000000, 140.389100
680.000000, 140.442300
675.000000, 140.452900
670.000000, 140.452800
665.000000, 140.431900
660.000000, 140.420700
655.000000, 140.358200
650.000000, 140.400900
645.000000, 140.365700
640.000000, 140.353600
635.000000, 140.260300
630.000000, 140.190300
625.000000, 140.132200
620.000000, 140.030500
615.000000, 139.905600
610.000000, 139.811200
605.000000, 139.668300
600.000000, 139.564600
595.000000, 139.457300
590.000000, 139.294600
585.000000, 139.149200
580.000000, 138.947400
575.000000, 138.782700
570.000000, 138.597300
565.000000, 138.425200
560.000000, 138.272100
555.000000, 137.785800
550.000000, 137.421300
545.000000, 137.246000
540.000000, 137.097000
535.000000, 137.021100
530.000000, 136.966300
525.000000, 137.008400
520.000000, 137.108400
515.000000, 137.136500
510.000000, 137.292800
505.000000, 137.514100
500.000000, 137.834300
495.000000, 137.863900
490.000000, 137.401900
485.000000, 136.422800
480.000000, 135.452300
475.000000, 135.374500
470.000000, 135.260200
465.000000, 135.210700
460.000000, 135.467200
455.000000, 135.621800
450.000000, 135.524900
445.000000, 135.178500
440.000000, 134.637000
435.000000, 134.334100
430.000000, 134.016600
425.000000, 133.664600
420.000000, 133.269300
415.000000, 133.014900
410.000000, 132.628900
405.000000, 132.240300
400.000000, 131.802800
395.000000, 131.474700
390.000000, 131.041600
385.000000, 130.721100
380.000000, 130.333800
375.000000, 130.125200
370.000000, 131.505600
365.000000, 130.539400
360.000000, 129.830400
355.000000, 128.601300
350.000000, 127.492300
345.000000, 126.303700
340.000000, 125.425800
335.000000, 124.169600
330.000000, 123.031400
325.000000, 121.658400
320.000000, 120.419500
315.000000, 119.025500
310.000000, 115.104400
305.000000, 114.171300
300.000000, 113.516900
295.000000, 113.001800
290.000000, 112.845100
285.000000, 112.456000
280.000000, 112.163700
275.000000, 111.905000
270.000000, 111.717700
265.000000, 111.366400
260.000000, 111.299800
255.000000, 111.745400
250.000000, 112.650900
