nm, %R
1100.000000, 31.227917
1095.000000, 31.282577
1090.000000, 31.252234
1085.000000, 31.259191
1080.000000, 31.296734
1075.000000, 31.297420
1070.000000, 31.322881
1065.000000, 31.319216
1060.000000, 31.301572
1055.000000, 31.303315
1050.000000, 31.327675
1045.000000, 31.342355
1040.000000, 31.349819
1035.000000, 31.371664
1030.000000, 31.343052
1025.000000, 31.397942
1020.000000, 31.403565
1015.000000, 31.391503
1010.000000, 31.418370
1005.000000, 31.429420
1000.000000, 31.413751
995.000000, 31.439021
990.000000, 31.454155
985.000000, 31.458375
980.000000, 31.457189
975.000000, 31.465382
970.000000, 31.475633
965.000000, 31.472400
960.000000, 31.474358
955.000000, 31.527315
950.000000, 31.513294
945.000000, 31.485388
940.000000, 31.512836
935.000000, 31.448633
930.000000, 31.500580
925.000000, 31.572030
920.000000, 31.497742
915.000000, 31.431989
910.000000, 31.498575
905.000000, 31.568565
900.000000, 31.466180
895.000000, 31.491541
890.000000, 31.547181
885.000000, 32.684040
880.000000, 32.715167
875.000000, 32.729296
870.000000, 32.763976
865.000000, 32.796592
860.000000, 32.780274
855.000000, 32.838264
850.000000, 32.858928
845.000000, 32.879539
840.000000, 32.908466
835.000000, 32.956491
830.000000, 33.009517
825.000000, 33.017566
820.000000, 33.058579
815.000000, 33.079709
810.000000, 33.129306
805.000000, 33.163370
800.000000, 33.175089
795.000000, 33.211491
790.000000, 33.267812
785.000000, 33.282625
780.000000, 33.335691
775.000000, 33.384733
770.000000, 33.419430
765.000000, 33.440161
760.000000, 33.507334
755.000000, 33.545534
750.000000, 33.570174
745.000000, 33.624972
740.000000, 33.675035
735.000000, 33.715685
730.000000, 33.783901
725.000000, 33.815275
720.000000, 33.877730
715.000000, 33.939808
710.000000, 33.992590
705.000000, 34.021999
700.000000, 34.097812
695.000000, 34.151709
690.000000, 34.202861
685.000000, 34.291337
680.000000, 34.324060
675.000000, 34.395089
670.000000, 34.471723
665.000000, 34.540941
660.000000, 34.613558
655.000000, 34.704991
650.000000, 34.755618
645.000000, 34.837072
640.000000, 34.913604
635.000000, 35.006484
630.000000, 35.090588
625.000000, 35.173001
620.000000, 35.272101
615.000000, 35.378212
610.000000, 35.481135
605.000000, 35.599202
600.000000, 35.689494
595.000000, 35.810029
590.000000, 35.933410
585.000000, 36.039158
580.000000, 36.165268
575.000000, 36.294005
570.000000, 36.442557
565.000000, 36.579178
560.000000, 36.737997
555.000000, 36.906778
550.000000, 37.053863
545.000000, 37.223088
540.000000, 37.395202
535.000000, 37.590342
530.000000, 37.793676
525.000000, 38.000882
520.000000, 38.196055
515.000000, 38.402905
510.000000, 38.549217
505.000000, 38.707813
500.000000, 38.868772
495.000000, 39.117782
490.000000, 39.396253
485.000000, 39.698958
480.000000, 40.080845
475.000000, 40.387370
470.000000, 40.700221
465.000000, 41.022937
460.000000, 41.291028
455.000000, 41.600244
450.000000, 42.003794
445.000000, 42.437370
440.000000, 42.910864
435.000000, 43.441315
430.000000, 44.001116
425.000000, 44.575228
420.000000, 45.270516
415.000000, 45.959663
410.000000, 46.766127
405.000000, 47.684480
400.000000, 48.749647
395.000000, 49.886176
390.000000, 51.257921
385.000000, 52.795608
380.000000, 54.659574
375.000000, 56.516493
370.000000, 57.971219
365.000000, 58.420446
360.000000, 57.669313
355.000000, 56.906656
350.000000, 56.148175
345.000000, 55.762895
340.000000, 55.396418
335.000000, 55.588163
330.000000, 55.687085
325.000000, 56.120416
320.000000, 56.507044
315.000000, 57.041474
310.000000, 57.997522
305.000000, 59.349679
300.000000, 61.232909
295.000000, 63.979954
290.000000, 66.983502
285.000000, 69.392918
280.000000, 70.665287
275.000000, 71.427014
270.000000, 71.133401
265.000000, 69.965447
260.000000, 68.151785
255.000000, 66.294094
250.000000, 64.352437
