nm, %R
1100.000000, 31.257705
1095.000000, 31.284185
1090.000000, 31.265381
1085.000000, 31.275866
1080.000000, 31.289978
1075.000000, 31.336094
1070.000000, 31.309665
1065.000000, 31.307344
1060.000000, 31.322123
1055.000000, 31.330243
1050.000000, 31.342421
1045.000000, 31.368599
1040.000000, 31.353237
1035.000000, 31.355477
1030.000000, 31.344285
1025.000000, 31.388267
1020.000000, 31.388829
1015.000000, 31.420703
1010.000000, 31.439448
1005.000000, 31.404068
1000.000000, 31.403676
995.000000, 31.404399
990.000000, 31.433959
985.000000, 31.431967
980.000000, 31.493074
975.000000, 31.471005
970.000000, 31.487240
965.000000, 31.462054
960.000000, 31.481512
955.000000, 31.454782
950.000000, 31.470600
945.000000, 31.494179
940.000000, 31.467617
935.000000, 31.504065
930.000000, 31.506108
925.000000, 31.555600
920.000000, 31.647294
915.000000, 31.497787
910.000000, 31.542733
905.000000, 31.362741
900.000000, 31.489012
895.000000, 31.523603
890.000000, 31.461946
885.000000, 32.700597
880.000000, 32.732735
875.000000, 32.732348
870.000000, 32.760912
865.000000, 32.795591
860.000000, 32.808600
855.000000, 32.853612
850.000000, 32.865924
845.000000, 32.892989
840.000000, 32.922089
835.000000, 32.965782
830.000000, 32.994185
825.000000, 33.021709
820.000000, 33.053854
815.000000, 33.081817
810.000000, 33.119426
805.000000, 33.169101
800.000000, 33.194438
795.000000, 33.211274
790.000000, 33.256169
785.000000, 33.287681
780.000000, 33.360299
775.000000, 33.371042
770.000000, 33.420150
765.000000, 33.443538
760.000000, 33.497211
755.000000, 33.538432
750.000000, 33.580490
745.000000, 33.631988
740.000000, 33.682474
735.000000, 33.712898
730.000000, 33.770399
725.000000, 33.807210
720.000000, 33.859542
715.000000, 33.933817
710.000000, 33.964013
705.000000, 34.013452
700.000000, 34.070472
695.000000, 34.130998
690.000000, 34.181660
685.000000, 34.271963
680.000000, 34.304907
675.000000, 34.386901
670.000000, 34.450577
665.000000, 34.518226
660.000000, 34.595327
655.000000, 34.674497
650.000000, 34.730333
645.000000, 34.817908
640.000000, 34.894153
635.000000, 34.988304
630.000000, 35.071114
625.000000, 35.152235
620.000000, 35.259604
615.000000, 35.351408
610.000000, 35.447589
605.000000, 35.562114
600.000000, 35.656821
595.000000, 35.761699
590.000000, 35.882008
585.000000, 36.001357
580.000000, 36.137416
575.000000, 36.251348
570.000000, 36.371921
565.000000, 36.551509
560.000000, 36.693809
555.000000, 36.858660
550.000000, 37.005617
545.000000, 37.174781
540.000000, 37.354938
535.000000, 37.527578
530.000000, 37.729792
525.000000, 37.942929
520.000000, 38.136175
515.000000, 38.328381
510.000000, 38.473904
505.000000, 38.627893
500.000000, 38.829377
495.000000, 39.035890
490.000000, 39.312775
485.000000, 39.620497
480.000000, 40.009236
475.000000, 40.318819
470.000000, 40.612464
465.000000, 40.926125
460.000000, 41.194400
455.000000, 41.486988
450.000000, 41.901082
445.000000, 42.325444
440.000000, 42.799825
435.000000, 43.329579
430.000000, 43.876057
425.000000, 44.495476
420.000000, 45.170343
415.000000, 45.847721
410.000000, 46.638101
405.000000, 47.554263
400.000000, 48.593429
395.000000, 49.737706
390.000000, 51.080802
385.000000, 52.647430
380.000000, 54.503743
375.000000, 56.372017
370.000000, 58.012282
365.000000, 58.253523
360.000000, 57.590287
355.000000, 56.642273
350.000000, 55.937417
345.000000, 55.461083
340.000000, 55.274035
335.000000, 55.185810
330.000000, 55.410082
325.000000, 55.697921
320.000000, 56.310398
315.000000, 56.362796
310.000000, 57.587547
305.000000, 58.883012
300.000000, 60.797643
295.000000, 63.490759
290.000000, 66.604133
285.000000, 68.923579
280.000000, 70.204621
275.000000, 70.878156
270.000000, 70.555874
265.000000, 69.209564
260.000000, 67.340822
255.000000, 65.289399
250.000000, 63.282317
