nm, %R
1100.000000, 37.709000
1090.000000, 37.464500
1080.000000, 37.076400
1070.000000, 36.653100
1060.000000, 36.149000
1050.000000, 35.765200
1040.000000, 35.411600
1030.000000, 35.084600
1020.000000, 34.639100
1010.000000, 34.108700
1000.000000, 33.552100
990.000000, 33.015700
980.000000, 32.617900
970.000000, 32.174500
960.000000, 31.574800
950.000000, 30.971400
940.000000, 30.398400
930.000000, 29.894200
920.000000, 29.381000
910.000000, 28.768700
900.000000, 28.181500
890.000000, 27.668000
880.000000, 7.047800
870.000000, 6.932700
860.000000, 6.839400
850.000000, 6.753200
840.000000, 6.680700
830.000000, 6.637500
820.000000, 6.570500
810.000000, 6.584500
800.000000, 6.444200
790.000000, 6.417700
780.000000, 6.350100
770.000000, 6.326500
760.000000, 6.277300
750.000000, 6.227700
740.000000, 6.178200
730.000000, 6.149900
720.000000, 6.086800
710.000000, 6.056700
700.000000, 6.028600
690.000000, 5.996500
680.000000, 6.007200
670.000000, 5.956400
660.000000, 5.920600
650.000000, 5.890400
640.000000, 5.852300
630.000000, 5.821900
620.000000, 5.791100
610.000000, 5.747400
600.000000, 5.689700
590.000000, 5.597200
580.000000, 5.475600
570.000000, 5.352000
560.000000, 5.209000
550.000000, 5.204400
540.000000, 5.050800
530.000000, 4.999000
520.000000, 5.078700
510.000000, 5.215400
500.000000, 4.938100
490.000000, 4.938100
480.000000, 4.488000
470.000000, 3.960000
460.000000, 3.690600
450.000000, 3.448900
440.000000, 3.224700
430.000000, 3.043700
420.000000, 2.909700
410.000000, 2.834700
400.000000, 2.794300
390.000000, 2.771600
380.000000, 2.834300
370.000000, 2.901400
360.000000, 3.190100
350.000000, 3.282800
340.000000, 3.314400
330.000000, 3.064000
320.000000, 3.334300
310.000000, 3.292400
300.000000, 2.152200
290.000000, 1.936800
280.000000, 1.837100
270.000000, 1.965000
260.000000, 2.176000
250.000000, 2.404100
