nm, %R
1100.000000, 0.220372
1090.000000, 0.239960
1080.000000, 0.180978
1070.000000, 0.157422
1060.000000, 0.234031
1050.000000, 0.145113
1040.000000, 0.157858
1030.000000, 0.141943
1020.000000, 0.124426
1010.000000, 0.039579
1000.000000, 0.108786
990.000000, 0.082082
980.000000, 0.072659
970.000000, 0.032013
960.000000, -0.114332
950.000000, -0.009041
940.000000, 0.001316
930.000000, -0.218103
920.000000, -0.182771
910.000000, -0.605172
900.000000, -0.871849
890.000000, -1.034408
880.000000, 0.232697
870.000000, 0.372149
860.000000, 0.315817
850.000000, 0.423503
840.000000, 0.327810
830.000000, 0.331450
820.000000, 0.573777
810.000000, 0.420685
800.000000, 0.456224
790.000000, 0.271125
780.000000, 0.354325
770.000000, 0.309808
760.000000, 0.375958
750.000000, 0.300271
740.000000, 0.284873
730.000000, 0.344721
720.000000, 0.249721
710.000000, 0.307098
700.000000, 0.258767
690.000000, 0.211790
680.000000, 0.312958
670.000000, 0.194749
660.000000, 0.261798
650.000000, 0.139210
640.000000, 0.269979
630.000000, 0.202683
620.000000, 0.195127
610.000000, 0.238369
600.000000, 0.221453
590.000000, 0.269778
580.000000, 0.215501
570.000000, 0.199925
560.000000, 0.264926
550.000000, 0.378526
540.000000, 0.239566
530.000000, 0.190038
520.000000, 0.169335
510.000000, 0.162979
500.000000, 0.113404
490.000000, 0.160584
480.000000, 0.229292
470.000000, 0.257576
460.000000, 0.037934
450.000000, 0.057990
440.000000, 0.334915
430.000000, 0.308835
420.000000, 0.357425
410.000000, 0.194024
400.000000, 0.422288
390.000000, 0.122673
380.000000, 0.504534
370.000000, 1.575102
360.000000, 4.723990
350.000000, 2.552699
340.000000, -1.532706
330.000000, 10.447128
320.000000, 4.624659
310.000000, 14.943506
300.000000, 2.592696
290.000000, 4.528088
280.000000, 2.460400
270.000000, 1.674300
260.000000, 1.737132
250.000000, 0.727923
