nm, %R
2000.000000, 96.914302
1990.000000, 96.893438
1980.000000, 97.127970
1970.000000, 97.276366
1960.000000, 97.645338
1950.000000, 97.840700
1940.000000, 97.761025
1930.000000, 97.618530
1920.000000, 97.565956
1910.000000, 98.160787
1900.000000, 97.939343
1890.000000, 97.902363
1880.000000, 97.819288
1870.000000, 97.910093
1860.000000, 97.896181
1850.000000, 98.050174
1840.000000, 97.924048
1830.000000, 98.089406
1820.000000, 98.010859
1810.000000, 98.140916
1800.000000, 98.192750
1790.000000, 98.397810
1780.000000, 98.149601
1770.000000, 98.319406
1760.000000, 98.526479
1750.000000, 98.254339
1740.000000, 98.329568
1730.000000, 98.258560
1720.000000, 98.248197
1710.000000, 98.296337
1700.000000, 98.411794
1690.000000, 98.674660
1680.000000, 98.462195
1670.000000, 98.475633
1660.000000, 98.364119
1650.000000, 98.471544
1640.000000, 98.608582
1630.000000, 98.490008
1620.000000, 98.610410
1610.000000, 98.499439
1600.000000, 98.640624
1590.000000, 98.743724
1580.000000, 98.781782
1570.000000, 98.729501
1560.000000, 99.082652
1550.000000, 98.655744
1540.000000, 98.551925
1530.000000, 98.565865
1520.000000, 98.618704
1510.000000, 98.464939
1500.000000, 98.637057
1490.000000, 98.597835
1480.000000, 98.563167
1470.000000, 98.602920
1460.000000, 98.490140
1450.000000, 98.555778
1440.000000, 98.678135
1430.000000, 98.230554
1420.000000, 98.594453
1410.000000, 98.555409
1400.000000, 98.522326
1390.000000, 98.676069
1380.000000, 98.775627
1370.000000, 98.531953
1360.000000, 98.777610
1350.000000, 98.538561
1340.000000, 98.579882
1330.000000, 98.541223
1320.000000, 98.780343
1310.000000, 98.720912
1300.000000, 98.705780
1290.000000, 98.701645
1280.000000, 98.794418
1270.000000, 98.741167
1260.000000, 98.791402
1250.000000, 98.912111
1240.000000, 98.587540
1230.000000, 98.821395
1220.000000, 98.848073
1210.000000, 98.733648
1200.000000, 98.748973
1190.000000, 98.672123
1180.000000, 98.812485
1170.000000, 98.749074
1160.000000, 98.954282
1150.000000, 99.051610
1140.000000, 98.953860
1130.000000, 98.788437
1120.000000, 98.857575
1110.000000, 98.763299
1100.000000, 98.969259
1090.000000, 98.791716
1080.000000, 99.002350
1070.000000, 98.895110
1060.000000, 99.058123
1050.000000, 98.892826
1040.000000, 98.859325
1030.000000, 98.978508
1020.000000, 98.702526
1010.000000, 98.830058
1000.000000, 98.898806
990.000000, 99.102477
980.000000, 98.969384
970.000000, 98.871976
960.000000, 98.946233
950.000000, 98.969036
940.000000, 98.803956
930.000000, 98.852022
920.000000, 98.950474
910.000000, 98.684772
900.000000, 99.120774
890.000000, 98.904278
880.000000, 99.030127
870.000000, 98.781347
860.000000, 98.753858
850.000000, 98.843580
840.000000, 98.915309
830.000000, 98.873374
820.000000, 98.847734
810.000000, 98.726881
800.000000, 98.809774
790.000000, 99.049619
780.000000, 98.978936
770.000000, 98.953514
760.000000, 98.897600
750.000000, 98.841827
740.000000, 98.924154
730.000000, 98.963905
720.000000, 98.973672
710.000000, 98.935875
700.000000, 98.985679
690.000000, 98.982554
680.000000, 98.989172
670.000000, 98.937434
660.000000, 98.880489
650.000000, 98.933969
640.000000, 98.953116
630.000000, 98.940567
620.000000, 98.994845
610.000000, 98.944159
600.000000, 99.040690
590.000000, 98.975521
580.000000, 98.995816
570.000000, 99.012323
560.000000, 99.032946
550.000000, 99.041885
540.000000, 98.922849
530.000000, 99.014907
520.000000, 99.024087
510.000000, 98.926232
500.000000, 98.946722
490.000000, 98.914784
480.000000, 98.879813
470.000000, 98.942617
460.000000, 98.949601
450.000000, 98.962706
440.000000, 98.864267
430.000000, 98.901163
420.000000, 98.934087
410.000000, 98.913118
400.000000, 98.959619
390.000000, 98.851457
380.000000, 98.842446
370.000000, 98.844551
360.000000, 98.749210
350.000000, 98.547923
340.000000, 98.486134
330.000000, 98.294720
320.000000, 98.267793
310.000000, 98.319237
300.000000, 97.525552
290.000000, 97.360487
280.000000, 96.832592
270.000000, 96.617363
260.000000, 96.163268
250.000000, 95.657022
