nm, %T
2000.000000, 100.120584
1990.000000, 99.948118
1980.000000, 99.944666
1970.000000, 99.961384
1960.000000, 100.112959
1950.000000, 99.816458
1940.000000, 99.962826
1930.000000, 99.970421
1920.000000, 99.672096
1910.000000, 100.070962
1900.000000, 99.992927
1890.000000, 100.021772
1880.000000, 99.880942
1870.000000, 99.856965
1860.000000, 100.050187
1850.000000, 100.043333
1840.000000, 100.003692
1830.000000, 100.132178
1820.000000, 99.871216
1810.000000, 99.922175
1800.000000, 100.038617
1790.000000, 100.048975
1780.000000, 100.023668
1770.000000, 99.987304
1760.000000, 100.016670
1750.000000, 100.074856
1740.000000, 100.055724
1730.000000, 100.124067
1720.000000, 100.094997
1710.000000, 99.880659
1700.000000, 99.938726
1690.000000, 99.923395
1680.000000, 99.984944
1670.000000, 99.782663
1660.000000, 99.961213
1650.000000, 99.918176
1640.000000, 99.933611
1630.000000, 100.023580
1620.000000, 99.935729
1610.000000, 99.813362
1600.000000, 100.082658
1590.000000, 100.018066
1580.000000, 100.040325
1570.000000, 100.021945
1560.000000, 99.915242
1550.000000, 100.014063
1540.000000, 99.937136
1530.000000, 100.179150
1520.000000, 100.061095
1510.000000, 99.882112
1500.000000, 99.835040
1490.000000, 100.028119
1480.000000, 99.955320
1470.000000, 99.888424
1460.000000, 100.084992
1450.000000, 99.970446
1440.000000, 100.036943
1430.000000, 99.990327
1420.000000, 100.036164
1410.000000, 100.058945
1400.000000, 99.875613
1390.000000, 100.023952
1380.000000, 99.845436
1370.000000, 100.000464
1360.000000, 100.056221
1350.000000, 100.117889
1340.000000, 100.144476
1330.000000, 99.966411
1320.000000, 99.931253
1310.000000, 100.062733
1300.000000, 100.017718
1290.000000, 99.964790
1280.000000, 99.980158
1270.000000, 100.063782
1260.000000, 100.235379
1250.000000, 99.999818
1240.000000, 99.901590
1230.000000, 100.018278
1220.000000, 100.093000
1210.000000, 100.155071
1200.000000, 100.036842
1190.000000, 100.197548
1180.000000, 99.916926
1170.000000, 100.083954
1160.000000, 100.048409
1150.000000, 100.145093
1140.000000, 100.117606
1130.000000, 100.156709
1120.000000, 100.095848
1110.000000, 100.114255
1100.000000, 100.222450
1090.000000, 100.103260
1080.000000, 99.768578
1070.000000, 99.945611
1060.000000, 100.019525
1050.000000, 100.197409
1040.000000, 100.081363
1030.000000, 99.868910
1020.000000, 99.874886
1010.000000, 100.024485
1000.000000, 99.779556
990.000000, 99.997836
980.000000, 100.085584
970.000000, 99.941028
960.000000, 99.770292
950.000000, 100.041021
940.000000, 99.877598
930.000000, 100.220817
920.000000, 99.811659
910.000000, 100.023322
900.000000, 99.881181
890.000000, 99.865379
880.000000, 99.859013
870.000000, 99.852202
860.000000, 99.944220
850.000000, 100.019428
840.000000, 99.924210
830.000000, 99.982773
820.000000, 100.007008
810.000000, 99.911014
800.000000, 99.786255
790.000000, 100.004453
780.000000, 99.971539
770.000000, 100.062204
760.000000, 100.012183
750.000000, 99.989536
740.000000, 99.939601
730.000000, 100.007063
720.000000, 100.032105
710.000000, 100.017503
700.000000, 100.055226
690.000000, 99.998763
680.000000, 100.008127
670.000000, 99.965694
660.000000, 99.966038
650.000000, 100.063662
640.000000, 100.058513
630.000000, 100.008894
620.000000, 100.081680
610.000000, 100.030325
600.000000, 99.949098
590.000000, 100.037720
580.000000, 99.956229
570.000000, 99.999843
560.000000, 99.976022
550.000000, 100.027487
540.000000, 99.912418
530.000000, 99.980588
520.000000, 99.914584
510.000000, 99.968177
500.000000, 99.998851
490.000000, 99.921979
480.000000, 99.988162
470.000000, 100.013364
460.000000, 99.960915
450.000000, 99.934975
440.000000, 100.050600
430.000000, 100.016518
420.000000, 99.991105
410.000000, 100.000781
400.000000, 99.992335
390.000000, 99.966998
380.000000, 99.987666
370.000000, 99.971632
360.000000, 99.688959
350.000000, 99.702146
340.000000, 99.948485
330.000000, 99.791916
320.000000, 99.981321
310.000000, 100.273637
300.000000, 100.096902
290.000000, 100.110381
280.000000, 99.861981
270.000000, 99.987926
260.000000, 99.842412
250.000000, 99.988257
