nm, %T
2000.000000, 54.402190
1990.000000, 54.375406
1980.000000, 54.472476
1970.000000, 54.696783
1960.000000, 55.040009
1950.000000, 55.042485
1940.000000, 54.879213
1930.000000, 54.878989
1920.000000, 54.418309
1910.000000, 54.156924
1900.000000, 54.088259
1890.000000, 55.981198
1880.000000, 54.403636
1870.000000, 54.946353
1860.000000, 54.682934
1850.000000, 54.725103
1840.000000, 54.684114
1830.000000, 54.306315
1820.000000, 54.432959
1810.000000, 54.512014
1800.000000, 54.589274
1790.000000, 54.845783
1780.000000, 54.980212
1770.000000, 54.973333
1760.000000, 54.639967
1750.000000, 54.437179
1740.000000, 54.301387
1730.000000, 54.549520
1720.000000, 54.669070
1710.000000, 54.521445
1700.000000, 54.554394
1690.000000, 54.410675
1680.000000, 54.510203
1670.000000, 54.454614
1660.000000, 54.441095
1650.000000, 54.410975
1640.000000, 54.390745
1630.000000, 54.289696
1620.000000, 54.375318
1610.000000, 54.408664
1600.000000, 54.463943
1590.000000, 54.569738
1580.000000, 54.690529
1570.000000, 54.596947
1560.000000, 54.510467
1550.000000, 54.338163
1540.000000, 54.233137
1530.000000, 54.320378
1520.000000, 54.555024
1510.000000, 54.572402
1500.000000, 54.370981
1490.000000, 54.447290
1480.000000, 54.162293
1470.000000, 54.140681
1460.000000, 54.248435
1450.000000, 54.401282
1440.000000, 54.521970
1430.000000, 54.091690
1420.000000, 53.968111
1410.000000, 54.329502
1400.000000, 54.469154
1390.000000, 54.408228
1380.000000, 54.159077
1370.000000, 53.725811
1360.000000, 54.096310
1350.000000, 55.044164
1340.000000, 54.165878
1330.000000, 54.324153
1320.000000, 54.400365
1310.000000, 54.071769
1300.000000, 54.143058
1290.000000, 54.131377
1280.000000, 54.084817
1270.000000, 53.860427
1260.000000, 54.010890
1250.000000, 54.102818
1240.000000, 53.979482
1230.000000, 53.747575
1220.000000, 53.627308
1210.000000, 53.898788
1200.000000, 54.005465
1190.000000, 53.744923
1180.000000, 53.563649
1170.000000, 53.403568
1160.000000, 53.084152
1150.000000, 52.465198
1140.000000, 51.738518
1130.000000, 51.144199
1120.000000, 50.322718
1110.000000, 48.996995
1100.000000, 47.759683
1090.000000, 46.027523
1080.000000, 43.828125
1070.000000, 41.323625
1060.000000, 37.736666
1050.000000, 32.680598
1040.000000, 27.263990
1030.000000, 21.960811
1020.000000, 17.112547
1010.000000, 12.708627
1000.000000, 9.162607
990.000000, 6.618519
980.000000, 4.428087
970.000000, 2.947322
960.000000, 1.844665
950.000000, 1.187132
940.000000, 0.873058
930.000000, 0.551159
920.000000, 0.487222
910.000000, 0.574624
900.000000, 0.438377
890.000000, 0.226807
880.000000, 0.596337
870.000000, 0.450017
860.000000, 0.263617
850.000000, 0.336808
840.000000, -0.020732
830.000000, -0.185114
820.000000, -0.054705
810.000000, -0.027155
800.000000, -0.008580
790.000000, -0.009207
780.000000, -0.022178
770.000000, -0.013747
760.000000, -0.018198
750.000000, -0.014283
740.000000, -0.012861
730.000000, -0.010288
720.000000, -0.008238
710.000000, -0.009561
700.000000, -0.006720
690.000000, -0.006648
680.000000, -0.009520
670.000000, -0.007451
660.000000, -0.009637
650.000000, -0.008405
640.000000, -0.004285
630.000000, -0.010844
620.000000, -0.009605
610.000000, -0.007581
600.000000, -0.008523
590.000000, -0.004461
580.000000, -0.006186
570.000000, -0.008622
560.000000, -0.009403
550.000000, -0.005105
540.000000, -0.003447
530.000000, -0.003820
520.000000, -0.004093
510.000000, -0.018327
500.000000, -0.022062
490.000000, -0.013927
480.000000, -0.003172
470.000000, -0.005871
460.000000, -0.020433
450.000000, -0.014803
440.000000, -0.010743
430.000000, -0.011687
420.000000, -0.011392
410.000000, -0.008673
400.000000, -0.004849
390.000000, -0.004625
380.000000, -0.005578
370.000000, 0.000786
360.000000, 0.002485
350.000000, 0.107218
340.000000, 0.206217
330.000000, 0.384381
320.000000, 0.843367
310.000000, 1.275271
300.000000, -0.011869
290.000000, -0.049892
280.000000, -0.022567
270.000000, -0.003203
260.000000, 0.023712
250.000000, -0.002729
