nm, %T
2000.000000, -0.096373
1990.000000, -0.324260
1980.000000, 0.082954
1970.000000, 0.490417
1960.000000, 0.880441
1950.000000, 0.655306
1940.000000, 0.562559
1930.000000, 0.704570
1920.000000, 0.368335
1910.000000, 0.064318
1900.000000, -0.099394
1890.000000, -0.314787
1880.000000, 0.155614
1870.000000, 0.928807
1860.000000, 0.470539
1850.000000, 0.419286
1840.000000, 0.538568
1830.000000, 0.175960
1820.000000, 0.015901
1810.000000, 0.127519
1800.000000, 0.400243
1790.000000, 0.565536
1780.000000, 0.921179
1770.000000, 0.808941
1760.000000, 0.418502
1750.000000, 0.061254
1740.000000, 0.231676
1730.000000, 0.427291
1720.000000, 0.317120
1710.000000, 0.246539
1700.000000, 0.625767
1690.000000, 0.359555
1680.000000, 0.435525
1670.000000, 0.458401
1660.000000, 0.071494
1650.000000, 0.237271
1640.000000, 0.258742
1630.000000, 0.049186
1620.000000, 0.261320
1610.000000, 0.447472
1600.000000, 0.591308
1590.000000, 0.517371
1580.000000, 0.701944
1570.000000, 0.660645
1560.000000, 0.427929
1550.000000, 0.320242
1540.000000, 0.422520
1530.000000, 0.719266
1520.000000, 0.895814
1510.000000, 0.829447
1500.000000, 0.582730
1490.000000, 0.453114
1480.000000, 0.577719
1470.000000, 0.475069
1460.000000, 0.703297
1450.000000, 0.925021
1440.000000, 0.877235
1430.000000, 0.668997
1420.000000, 0.662812
1410.000000, 0.890910
1400.000000, 1.338283
1390.000000, 1.155059
1380.000000, 1.304149
1370.000000, 0.664924
1360.000000, 0.804859
1350.000000, 0.566221
1340.000000, 1.056591
1330.000000, 1.492101
1320.000000, 1.610791
1310.000000, 1.308762
1300.000000, 1.582370
1290.000000, 1.718779
1280.000000, 1.702475
1270.000000, 1.288319
1260.000000, 1.563292
1250.000000, 2.022653
1240.000000, 2.121376
1230.000000, 1.613506
1220.000000, 1.672556
1210.000000, 2.247493
1200.000000, 2.461840
1190.000000, 2.284155
1180.000000, 2.166198
1170.000000, 2.432884
1160.000000, 2.226639
1150.000000, 2.391890
1140.000000, 2.445677
1130.000000, 2.504844
1120.000000, 2.922964
1110.000000, 2.837052
1100.000000, 2.770001
1090.000000, 2.848350
1080.000000, 2.953463
1070.000000, 2.846270
1060.000000, 2.696511
1050.000000, 2.170441
1040.000000, 2.039605
1030.000000, 1.831666
1020.000000, 1.525662
1010.000000, 1.105416
1000.000000, 1.035819
990.000000, 0.900692
980.000000, 0.572340
970.000000, 0.572811
960.000000, 0.445070
950.000000, 0.553098
940.000000, 0.431242
930.000000, 0.290698
920.000000, 0.369519
910.000000, 0.532859
900.000000, 0.398442
890.000000, 0.429470
880.000000, 0.429488
870.000000, 0.588079
860.000000, 0.422922
850.000000, 0.180838
840.000000, -0.016935
830.000000, -0.114695
820.000000, -0.035189
810.000000, -0.018203
800.000000, -0.012870
790.000000, -0.007773
780.000000, -0.016577
770.000000, -0.007443
760.000000, -0.011421
750.000000, -0.009547
740.000000, -0.007043
730.000000, -0.002073
720.000000, -0.006621
710.000000, -0.004549
700.000000, -0.004403
690.000000, -0.008504
680.000000, -0.004799
670.000000, -0.010090
660.000000, -0.008549
650.000000, -0.006304
640.000000, -0.004441
630.000000, -0.005929
620.000000, -0.003748
610.000000, -0.007034
600.000000, -0.008992
590.000000, -0.004930
580.000000, -0.008143
570.000000, -0.009406
560.000000, -0.008463
550.000000, -0.007461
540.000000, -0.003917
530.000000, -0.001325
520.000000, -0.007414
510.000000, -0.022391
500.000000, -0.026811
490.000000, -0.017005
480.000000, 0.001702
470.000000, -0.006411
460.000000, -0.024534
450.000000, -0.022476
440.000000, -0.010431
430.000000, -0.007012
420.000000, -0.012796
410.000000, -0.015001
400.000000, -0.015722
390.000000, -0.013405
380.000000, -0.007228
370.000000, -0.010451
360.000000, -0.001475
350.000000, 0.042606
340.000000, 0.090997
330.000000, 0.160284
320.000000, 0.377431
310.000000, 0.564042
300.000000, -0.010649
290.000000, -0.024294
280.000000, -0.015208
270.000000, -0.009446
260.000000, 0.001235
250.000000, -0.009262
