nm, %R
2000.000000, -0.339400
1990.000000, -0.679800
1980.000000, -0.004200
1970.000000, 0.469600
1960.000000, 0.659700
1950.000000, 0.640200
1940.000000, 0.521900
1930.000000, 0.843400
1920.000000, 0.432000
1910.000000, -0.029000
1900.000000, -0.192800
1890.000000, -0.270000
1880.000000, 0.294500
1870.000000, 1.909900
1860.000000, 0.597700
1850.000000, 0.692200
1840.000000, 0.466900
1830.000000, -0.018400
1820.000000, 0.236400
1810.000000, 0.178700
1800.000000, 0.733000
1790.000000, 0.590100
1780.000000, 0.895900
1770.000000, 0.792900
1760.000000, 0.252900
1750.000000, -0.026800
1740.000000, 0.202900
1730.000000, 0.300700
1720.000000, 0.756900
1710.000000, 0.211700
1700.000000, 0.357400
1690.000000, 0.312400
1680.000000, 0.351000
1670.000000, 0.427900
1660.000000, 0.031400
1650.000000, 0.120600
1640.000000, -0.120500
1630.000000, 0.385400
1620.000000, -0.329900
1610.000000, 0.415100
1600.000000, 0.520500
1590.000000, 0.579200
1580.000000, 0.592300
1570.000000, 0.547400
1560.000000, 0.569400
1550.000000, 0.662200
1540.000000, 0.241900
1530.000000, 0.457100
1520.000000, 0.513200
1510.000000, 0.571400
1500.000000, 0.792400
1490.000000, 0.389200
1480.000000, 0.090600
1470.000000, 0.089300
1460.000000, 0.456600
1450.000000, 1.150700
1440.000000, 0.543400
1430.000000, 0.385200
1420.000000, 0.154200
1410.000000, 0.448700
1400.000000, 0.842100
1390.000000, 0.577900
1380.000000, 0.461300
1370.000000, -0.256300
1360.000000, 0.114400
1350.000000, -0.257300
1340.000000, 0.281100
1330.000000, 0.903600
1320.000000, 1.127000
1310.000000, 0.801400
1300.000000, 0.305300
1290.000000, 0.687400
1280.000000, 0.259300
1270.000000, 0.151800
1260.000000, 0.172200
1250.000000, 0.021300
1240.000000, 1.172700
1230.000000, 0.079200
1220.000000, 0.067100
1210.000000, 0.438000
1200.000000, 0.645000
1190.000000, 0.566200
1180.000000, 0.355200
1170.000000, 0.112400
1160.000000, -0.153400
1150.000000, 0.227500
1140.000000, -0.003100
1130.000000, 0.071700
1120.000000, 0.116100
1110.000000, 0.276100
1100.000000, 0.825200
1090.000000, 0.756200
1080.000000, 0.499200
1070.000000, 0.509100
1060.000000, 0.449900
1050.000000, 0.714700
1040.000000, 0.465000
1030.000000, 0.402700
1020.000000, 0.476900
1010.000000, 0.511000
1000.000000, 0.676900
990.000000, 0.332300
980.000000, 0.567000
970.000000, 0.611700
960.000000, 0.425100
950.000000, 0.502500
940.000000, 0.626700
930.000000, 0.771400
920.000000, 0.237700
910.000000, 0.475800
900.000000, 0.679500
890.000000, 0.483900
880.000000, 0.479800
870.000000, 0.617800
860.000000, 0.021000
850.000000, 0.248300
840.000000, -0.062300
830.000000, -0.387400
820.000000, -0.131600
810.000000, -0.051200
800.000000, -0.020800
790.000000, -0.014900
780.000000, -0.039700
770.000000, -0.037100
760.000000, -0.040100
750.000000, -0.029800
740.000000, -0.023400
730.000000, -0.018400
720.000000, -0.014500
710.000000, -0.019900
700.000000, -0.019600
690.000000, -0.016100
680.000000, -0.012100
670.000000, -0.011000
660.000000, -0.013800
650.000000, -0.012700
640.000000, -0.011200
630.000000, -0.012500
620.000000, -0.021300
610.000000, -0.011400
600.000000, -0.012100
590.000000, -0.013900
580.000000, -0.014300
570.000000, -0.011400
560.000000, -0.018500
550.000000, -0.013400
540.000000, -0.007400
530.000000, -0.007500
520.000000, -0.011900
510.000000, -0.019200
500.000000, -0.035600
490.000000, -0.027600
480.000000, -0.003300
470.000000, -0.008900
460.000000, -0.031500
450.000000, -0.021000
440.000000, -0.022800
430.000000, -0.012500
420.000000, -0.013600
410.000000, -0.011200
400.000000, -0.013600
390.000000, -0.007200
380.000000, -0.003100
370.000000, 0.003200
360.000000, 0.006100
350.000000, 0.123300
340.000000, 0.242700
330.000000, 0.496100
320.000000, 1.017000
310.000000, 1.569600
300.000000, -0.012300
290.000000, -0.058800
280.000000, -0.055500
270.000000, -0.016900
260.000000, 0.003100
250.000000, -0.030900
