nm, %R
2000.000000, 97.416767
1990.000000, 97.642963
1980.000000, 96.542106
1970.000000, 97.410121
1960.000000, 98.659605
1950.000000, 97.181617
1940.000000, 98.080391
1930.000000, 97.744457
1920.000000, 96.817266
1910.000000, 97.406626
1900.000000, 97.768809
1890.000000, 98.033389
1880.000000, 97.933269
1870.000000, 98.400221
1860.000000, 97.687903
1850.000000, 97.968382
1840.000000, 98.616227
1830.000000, 97.750535
1820.000000, 98.191238
1810.000000, 98.329309
1800.000000, 98.247333
1790.000000, 97.949253
1780.000000, 97.919511
1770.000000, 98.291317
1760.000000, 98.335999
1750.000000, 98.866709
1740.000000, 98.587058
1730.000000, 97.915153
1720.000000, 98.784302
1710.000000, 98.547981
1700.000000, 98.610517
1690.000000, 98.656790
1680.000000, 98.463153
1670.000000, 98.251982
1660.000000, 97.994924
1650.000000, 98.179004
1640.000000, 98.399186
1630.000000, 98.516533
1620.000000, 99.025626
1610.000000, 98.362506
1600.000000, 98.261617
1590.000000, 98.699611
1580.000000, 98.986214
1570.000000, 99.047514
1560.000000, 98.895441
1550.000000, 98.900354
1540.000000, 99.207514
1530.000000, 98.973540
1520.000000, 98.528271
1510.000000, 98.576899
1500.000000, 98.598578
1490.000000, 98.461025
1480.000000, 98.799108
1470.000000, 98.408330
1460.000000, 98.477056
1450.000000, 98.023675
1440.000000, 99.117916
1430.000000, 99.088573
1420.000000, 97.822593
1410.000000, 98.729939
1400.000000, 97.638824
1390.000000, 98.611154
1380.000000, 98.414508
1370.000000, 98.871454
1360.000000, 98.518032
1350.000000, 98.697105
1340.000000, 98.971365
1330.000000, 98.775126
1320.000000, 98.412088
1310.000000, 98.719656
1300.000000, 98.559308
1290.000000, 98.773215
1280.000000, 99.180067
1270.000000, 98.739904
1260.000000, 98.824912
1250.000000, 98.994621
1240.000000, 98.993648
1230.000000, 98.933480
1220.000000, 98.926679
1210.000000, 98.739256
1200.000000, 99.465907
1190.000000, 98.985324
1180.000000, 98.390070
1170.000000, 98.754968
1160.000000, 98.804226
1150.000000, 98.748565
1140.000000, 99.587118
1130.000000, 99.029187
1120.000000, 98.519849
1110.000000, 98.273807
1100.000000, 99.314298
1090.000000, 98.726481
1080.000000, 99.137470
1070.000000, 98.696549
1060.000000, 98.183228
1050.000000, 98.683743
1040.000000, 99.308768
1030.000000, 99.134855
1020.000000, 98.515549
1010.000000, 98.897725
1000.000000, 99.275276
990.000000, 98.419897
980.000000, 99.598286
970.000000, 98.566323
960.000000, 99.602907
950.000000, 99.432573
940.000000, 98.636688
930.000000, 99.048442
920.000000, 99.305700
910.000000, 99.325492
900.000000, 98.424810
890.000000, 98.814585
880.000000, 99.244432
870.000000, 98.583121
860.000000, 99.057480
850.000000, 98.938422
840.000000, 98.718279
830.000000, 98.474977
820.000000, 98.877721
810.000000, 99.124772
800.000000, 99.177853
790.000000, 99.050762
780.000000, 98.895586
770.000000, 98.798613
760.000000, 98.874574
750.000000, 98.934002
740.000000, 98.939297
730.000000, 98.891640
720.000000, 98.873495
710.000000, 98.987072
700.000000, 98.977762
690.000000, 98.968254
680.000000, 98.985421
670.000000, 99.024133
660.000000, 98.969117
650.000000, 98.998625
640.000000, 98.984236
630.000000, 98.979455
620.000000, 99.036724
610.000000, 98.989072
600.000000, 99.015080
590.000000, 99.020928
580.000000, 98.980144
570.000000, 98.962952
560.000000, 99.084023
550.000000, 99.025610
540.000000, 99.076861
530.000000, 98.973955
520.000000, 99.047750
510.000000, 99.113847
500.000000, 98.985876
490.000000, 98.921576
480.000000, 98.961612
470.000000, 98.964970
460.000000, 98.891710
450.000000, 99.027851
440.000000, 98.926470
430.000000, 98.865384
420.000000, 98.975418
410.000000, 98.960225
400.000000, 98.856200
390.000000, 98.833094
380.000000, 98.818035
370.000000, 98.754383
360.000000, 98.311847
350.000000, 98.371106
340.000000, 98.131623
330.000000, 98.211558
320.000000, 98.052853
310.000000, 98.424393
300.000000, 97.507002
290.000000, 97.017106
280.000000, 96.794267
270.000000, 96.470152
260.000000, 95.806839
250.000000, 95.379343
