nm, %R
2000.000000, 97.310543
1990.000000, 97.099597
1980.000000, 97.385992
1970.000000, 96.807602
1960.000000, 97.919393
1950.000000, 98.195342
1940.000000, 97.565261
1930.000000, 97.717249
1920.000000, 98.682789
1910.000000, 98.164021
1900.000000, 98.205023
1890.000000, 97.726393
1880.000000, 97.779210
1870.000000, 98.591312
1860.000000, 97.506640
1850.000000, 98.154337
1840.000000, 98.210306
1830.000000, 98.435900
1820.000000, 98.548879
1810.000000, 98.376044
1800.000000, 98.248682
1790.000000, 97.844290
1780.000000, 98.497073
1770.000000, 98.063126
1760.000000, 97.632329
1750.000000, 98.427047
1740.000000, 98.458496
1730.000000, 98.422714
1720.000000, 98.817706
1710.000000, 98.133783
1700.000000, 98.676463
1690.000000, 98.229858
1680.000000, 98.937415
1670.000000, 98.134324
1660.000000, 98.206832
1650.000000, 98.411441
1640.000000, 98.752689
1630.000000, 98.873878
1620.000000, 98.381055
1610.000000, 98.400592
1600.000000, 98.803585
1590.000000, 98.799507
1580.000000, 99.285634
1570.000000, 98.608531
1560.000000, 97.996602
1550.000000, 98.889461
1540.000000, 98.563961
1530.000000, 99.250303
1520.000000, 98.959918
1510.000000, 98.705570
1500.000000, 98.661546
1490.000000, 99.093299
1480.000000, 98.725759
1470.000000, 98.411638
1460.000000, 99.055995
1450.000000, 98.593021
1440.000000, 98.886284
1430.000000, 98.848710
1420.000000, 99.272416
1410.000000, 98.457234
1400.000000, 97.919849
1390.000000, 98.861393
1380.000000, 98.396504
1370.000000, 98.489490
1360.000000, 98.072787
1350.000000, 98.413440
1340.000000, 99.113674
1330.000000, 99.029281
1320.000000, 98.621982
1310.000000, 98.878247
1300.000000, 99.134355
1290.000000, 99.413106
1280.000000, 98.818275
1270.000000, 98.834416
1260.000000, 98.576210
1250.000000, 98.968594
1240.000000, 98.559948
1230.000000, 99.337087
1220.000000, 98.840854
1210.000000, 99.562636
1200.000000, 98.489646
1190.000000, 99.135763
1180.000000, 98.975703
1170.000000, 98.493055
1160.000000, 99.791990
1150.000000, 99.018860
1140.000000, 98.877997
1130.000000, 98.559960
1120.000000, 98.677879
1110.000000, 99.994911
1100.000000, 98.992335
1090.000000, 98.588250
1080.000000, 99.469415
1070.000000, 99.229149
1060.000000, 98.815881
1050.000000, 98.967558
1040.000000, 98.576266
1030.000000, 99.160133
1020.000000, 99.070387
1010.000000, 98.395774
1000.000000, 98.836237
990.000000, 99.529763
980.000000, 99.648430
970.000000, 99.243723
960.000000, 98.471066
950.000000, 99.607249
940.000000, 99.196353
930.000000, 99.271066
920.000000, 98.768186
910.000000, 99.396541
900.000000, 98.750973
890.000000, 98.727594
880.000000, 99.449920
870.000000, 98.930014
860.000000, 99.659662
850.000000, 98.199975
840.000000, 98.997702
830.000000, 98.778525
820.000000, 99.082105
810.000000, 99.013909
800.000000, 99.097750
790.000000, 98.834784
780.000000, 99.028070
770.000000, 98.931294
760.000000, 98.940669
750.000000, 98.902398
740.000000, 98.993761
730.000000, 98.996641
720.000000, 99.113398
710.000000, 99.215640
700.000000, 99.229350
690.000000, 99.180971
680.000000, 99.296248
670.000000, 99.360489
660.000000, 99.306785
650.000000, 99.343851
640.000000, 99.323369
630.000000, 99.306147
620.000000, 99.399164
610.000000, 99.364647
600.000000, 99.296285
590.000000, 99.360506
580.000000, 99.401717
570.000000, 99.321731
560.000000, 99.381316
550.000000, 99.330225
540.000000, 99.332428
530.000000, 99.243030
520.000000, 99.279424
510.000000, 99.269155
500.000000, 99.242526
490.000000, 99.277210
480.000000, 99.367739
470.000000, 99.274933
460.000000, 99.190691
450.000000, 99.312956
440.000000, 99.235334
430.000000, 99.268584
420.000000, 99.263616
410.000000, 99.335691
400.000000, 99.450538
390.000000, 99.430740
380.000000, 99.411961
370.000000, 99.016994
360.000000, 98.405860
350.000000, 98.486512
340.000000, 98.729184
330.000000, 98.756375
320.000000, 97.861599
310.000000, 98.225126
300.000000, 98.698814
290.000000, 98.959235
280.000000, 99.214081
270.000000, 99.295423
260.000000, 99.779071
250.000000, 99.895145
